                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 0.5783,                0.50311,                 1.0576,                0.77477,                 0.8828,                0.85135,                0.74194,                 0.4719,                0.41946,                0.99134,             0.00047332,             0.00047332,             0.00047332
                    136,                  0.583,                0.50216,                 1.0606,                0.79994,                0.87441,                0.87702,                0.76803,                0.48725,                0.39259,                 1.0021,             0.00046936,             0.00046936,             0.00046936
                    137,                0.58614,                0.47795,                  1.055,                0.74836,                0.88566,                0.85109,                0.74231,                0.47258,                0.38707,                0.98893,              0.0004654,              0.0004654,              0.0004654
                    138,                0.56354,                0.50691,                 1.0451,                0.78393,                0.86635,                0.87354,                0.76767,                0.47935,                 0.3849,                0.99554,             0.00046144,             0.00046144,             0.00046144
                    139,                0.58184,                0.48517,                 1.0564,                0.92814,                0.77843,                0.85792,                0.73042,                0.47116,                0.40956,                0.99499,             0.00045748,             0.00045748,             0.00045748
                    140,                0.56596,                0.46779,                 1.0434,                0.75214,                0.86636,                0.87405,                0.76244,                0.46166,                 0.3779,                0.98524,             0.00045352,             0.00045352,             0.00045352
                    141,                 0.5777,                0.46903,                 1.0548,                0.75213,                0.86494,                0.84844,                 0.7252,                0.46972,                0.38766,                0.98524,             0.00044956,             0.00044956,             0.00044956
                    142,                0.56094,                0.48731,                 1.0518,                0.78621,                0.84571,                0.87569,                0.76653,                0.47984,                0.39018,                0.99614,              0.0004456,              0.0004456,              0.0004456
                    143,                0.56381,                0.48383,                 1.0484,                0.77576,                0.87517,                0.88053,                0.76276,                0.46387,                0.37916,                0.98717,             0.00044164,             0.00044164,             0.00044164
                    144,                0.55794,                0.47069,                 1.0399,                0.79331,                0.88435,                0.88159,                0.75657,                 0.4695,                0.37788,                0.99552,             0.00043768,             0.00043768,             0.00043768
                    145,                0.56205,                0.47689,                 1.0527,                0.85607,                0.85782,                0.88964,                0.77965,                0.46676,                0.37745,                0.99551,             0.00043372,             0.00043372,             0.00043372
                    146,                0.55602,                 0.4839,                 1.0354,                0.84585,                0.86876,                0.90046,                0.77846,                0.47622,                0.37895,                 0.9983,             0.00042976,             0.00042976,             0.00042976
                    147,                0.55796,                0.46599,                 1.0501,                0.81409,                0.83784,                0.87965,                0.76099,                0.46785,                0.39119,                0.98556,              0.0004258,              0.0004258,              0.0004258
                    148,                0.55379,                0.49358,                 1.0372,                 0.9169,                0.80183,                0.88594,                0.78355,                0.47346,                0.40391,                0.99211,             0.00042184,             0.00042184,             0.00042184
                    149,                0.56138,                0.49453,                 1.0521,                0.87525,                0.84272,                0.88317,                0.78044,                0.46857,                0.39653,                0.98873,             0.00041788,             0.00041788,             0.00041788
                    150,                  0.553,                 0.4483,                 1.0458,                0.78822,                  0.851,                0.86194,                0.75272,                0.47176,                0.38983,                0.98813,             0.00041392,             0.00041392,             0.00041392
                    151,                0.55579,                0.47215,                 1.0375,                0.73375,                0.88158,                 0.8854,                0.77225,                0.46899,                0.39628,                0.98695,             0.00040996,             0.00040996,             0.00040996
                    152,                0.56407,                0.48562,                 1.0475,                0.78974,                0.85799,                0.87547,                0.78234,                0.47972,                0.36729,                 1.0013,               0.000406,               0.000406,               0.000406
                    153,                0.57545,                0.49182,                 1.0544,                0.81041,                0.87349,                0.88207,                0.76369,                0.46668,                0.37474,                0.98536,             0.00040204,             0.00040204,             0.00040204
                    154,                0.57167,                0.44727,                 1.0441,                0.86318,                0.87275,                0.90638,                0.77799,                0.46104,                0.36055,                 0.9799,             0.00039808,             0.00039808,             0.00039808
                    155,                0.56012,                 0.4844,                  1.042,                0.83283,                0.88964,                0.89759,                0.77841,                0.48238,                0.35918,                  1.006,             0.00039412,             0.00039412,             0.00039412
